name;automata-runtime;mata-runtime;mata-mataparsing;mata-construction;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;ERR;0.19; 0.134454; 0.0123327; 0.0256948; 5.356e-06; false;0.5; 0.132407; 0.21804; 0.116556; 0.00399472; false;ERR;TO; 0.137774;1.11; 0.0865; 0.0000; 0.0110; 0.0000;1.45; 0.0875; 0.3934; 0.0031; 0.0382;1.14; 0.0854; 0.1095; 0.0013; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;ERR;0.17; 0.121548; 0.0108598; 0.0227357; 4.385e-06; false;0.44; 0.1188; 0.191304; 0.105549; 0.00351266; false;ERR;TO; 0.121785;0.99; 0.0759; 0.0000; 0.0101; 0.0000;1.38; 0.0760; 0.3083; 0.0027; 0.0294;1.13; 0.0758; 0.0962; 0.0011; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;ERR;0.19; 0.136453; 0.0127749; 0.0262597; 5.496e-06; false;0.51; 0.13571; 0.219972; 0.116435; 0.00392664; false;ERR;TO; 0.134816;1.05; 0.0853; 0.0000; 0.0112; 0.0000;1.46; 0.0869; 0.3919; 0.0031; 0.0381;1.15; 0.0870; 0.1114; 0.0013; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;ERR;0.2; 0.138282; 0.0126555; 0.026657; 4.987e-06; false;0.5; 0.138602; 0.227763; 0.105587; 0.00275297; false;ERR;TO; 0.140514;1.03; 0.0838; 0.0000; 0.0111; 0.0000;1.46; 0.0875; 0.3918; 0.0031; 0.0382;1.16; 0.0871; 0.1137; 0.0013; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;ERR;0.1; 0.0716686; 0.00774288; 0.0152475; 6.815e-06; false;0.28; 0.0713502; 0.117421; 0.0740933; 0.00361088; false;ERR;TO; 0.0739595;1.04; 0.0503; 0.0000; 0.0070; 0.0000;1.22; 0.0503; 0.1765; 0.0019; 0.0141;1.09; 0.0494; 0.0656; 0.0011; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;ERR;0.11; 0.0875219; 0.00613185; 0.014408; 4.18e-06; false;0.42; 0.0864841; 0.146245; 0.177887; 0.00207391; false;ERR;TO; 0.0886313;0.73; 0.0337; 0.0000; 0.0045; 0.0000;1.33; 0.0573; 0.3020; 0.0023; 0.0324;1.06; 0.0582; 0.0723; 0.0005; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;ERR;0.25; 0.176872; 0.0172569; 0.0349254; 5.218e-06; false;0.87; 0.173825; 0.301435; 0.352341; 0.00459832; false;ERR;TO; 0.179533;1.05; 0.1157; 0.0000; 0.0149; 0.0000;1.77; 0.1137; 0.6522; 0.0043; 0.0729;1.18; 0.1124; 0.1475; 0.0010; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;ERR;0.12; 0.0898072; 0.00626749; 0.0150696; 4.052e-06; false;0.44; 0.0887598; 0.14722; 0.185301; 0.00242898; false;ERR;TO; 0.0874144;0.75; 0.0346; 0.0000; 0.0046; 0.0000;1.15; 0.0610; 0.3254; 0.0024; 0.0357;0.99; 0.0597; 0.0405; 0.0003; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;ERR;0.25; 0.174659; 0.0172974; 0.0348225; 5.997e-06; false;0.87; 0.17376; 0.301951; 0.354299; 0.00458443; false;ERR;TO; 0.178521;0.75; 0.0627; 0.0000; 0.0082; 0.0000;1.14; 0.0660; 0.3552; 0.0022; 0.0410;0.84; 0.0644; 0.0749; 0.0005; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;ERR;0.14; 0.0965626; 0.0099283; 0.0212367; 4.4e-06; false;0.38; 0.0984085; 0.174666; 0.0822725; 0.00203907; false;ERR;TO; 0.0998281;1.06; 0.1019; 0.0000; 0.0145; 0.0000;1.76; 0.1013; 0.6450; 0.0042; 0.0715;1.19; 0.1009; 0.1400; 0.0010; 0.0001
