name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut49.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.05; 0.0468831; 0.0117608;0.000272087;9.9126e-05; 8.5947e-05; true;0.06; 0.0559595; 0.0101629;0.000264208;9.156e-05; 7.3723e-05; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut3.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.07; 0.0591382; 0.0213948;0.000401507;0.000134729; 8.933e-06; true;0.11; 0.0968492; 0.0205899;0.00038758000000000005;8.2529e-05; 4.86e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata;0.03; 0.0274542; 0.0131132;1.2426000000000001e-05;7.03e-06; 7.127e-06; true;0.04; 0.03531; 0.0118507;1.0658e-05;6.153e-06; 4.621e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata;0.02; 0.0142534; 0.00697246;5.9896e-05;2.3187e-05; 5.7439e-05; true;0.02; 0.0176666; 0.00671762;5.5535e-05;3.1982999999999995e-05; 6.2139e-05; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata;0.04; 0.0383647; 0.0127339;2.3347e-05;3.189e-06; 6.649e-06; true;0.03; 0.0278559; 0.0111392;6.074e-06;2.792e-06; 4.706e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.05; 0.0411565; 0.0166399;5.197e-06;3.689e-06; 6.589e-06; true;0.07; 0.0671831; 0.0163254;5.316e-06;2.493e-06; 6.212e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut4.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut7.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata;0.24; 0.202275; 0.0630263;7.034e-06;3.813e-06; 7.883e-06; true;0.31; 0.279852; 0.0598398;5.541e-06;4.0859999999999995e-06; 8.153e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut56.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.04; 0.038076; 0.0123589;5.792000000000001e-06;2.812e-06; 5.334e-06; true;0.06; 0.0555492; 0.0121721;4.945e-06;2.778e-06; 5.265e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.26; 0.225148; 0.0670956;0.000154253;1.9402e-05; 6.034e-06; true;0.33; 0.284914; 0.0795513;0.00012867599999999999;2.8020999999999998e-05; 7.084e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.25; 0.216431; 0.0567361;0.000204288;5.0247e-05; 8.9893e-05; true;0.26; 0.240028; 0.0543999;0.00011755000000000001;3.248e-05; 5.2322e-05; true
