name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.02; 0.0181036; 0.00133089; 6.2851e-05; 4.4767e-05; false;0.02; 0.0173774; 0.00176221; 0.000104217; 5.0753e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.04; 0.0348899; 0.00241102; 0.000129076; 0.000104146; false;0.01; 0.0173217; 0.00133812; 7.7954e-05; 5.321e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.13; 0.0641607; 0.0657399; 0.00399579; 8.404e-05; false;0.14; 0.0584777; 0.0681355; 0.00450246; 8.5771e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07431.mata;0.0; 0.000744019; 0.00105733; 8.9633e-05; 4.0055e-05; false;0.0; 0.000598486; 0.00114711; 0.000130108; 4.0757e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07461.mata;0.01; 0.0115434; 0.000861656; 7.1732e-05; 2.8572e-05; false;0.02; 0.0264979; 0.00192082; 7.7436e-05; 4.8425e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07468.mata;0.0; 0.00276238; 0.00193258; 0.000135608; 7.1268e-05; false;0.0; 0.00280122; 0.00204729; 0.000139652; 0.00014666; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07473.mata;0.0; 0.00101972; 0.000136171; 1.0155e-05; 1.0465e-05; false;0.0; 0.000989162; 0.000252786; 1.083e-05; 1.1424e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07591.mata;0.0; 0.00922703; 0.000548199; 4.6546e-05; 1.5608e-05; false;0.0; 0.00479013; 0.000593153; 4.6257e-05; 2.0633e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07609.mata;0.13; 0.107883; 0.0188229; 0.00209964; 0.000192891; false;0.13; 0.102713; 0.0187043; 0.00186926; 0.000213468; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07622.mata;0.03; 0.0306174; 0.00240369; 0.00013049; 8.2506e-05; false;0.01; 0.0152351; 0.00113208; 6.3934e-05; 3.0306e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07668.mata;0.01; 0.0142877; 0.00343668; 0.000200378; 0.000171989; false;0.01; 0.010079; 0.00188844; 0.000170642; 0.00013895; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07669.mata;0.21; 0.046648; 0.148056; 0.00544046; 0.000376182; false;0.23; 0.0587778; 0.158446; 0.00559544; 0.000332412; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07674.mata;0.08; 0.0330484; 0.0442631; 0.00155221; 0.000100875; false;0.08; 0.0340623; 0.0463246; 0.0015728; 0.000111412; false
