name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.28; 0.223416; 0.0791814; 0.000448209; 0.000682595; 5.4334e-05; false;0.26; 0.235616; 0.0508893; 0.000406141; 0.000305264; 4.5417e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;0.3; 0.245998; 0.0829668; 0.000468309; 0.000589921; 6.6398e-05; false;0.29; 0.252652; 0.0516994; 0.000936644; 0.000705509; 7.4187e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;0.31; 0.257765; 0.0850546; 0.000470161; 0.000417859; 5.532e-05; false;0.3; 0.270815; 0.052897; 0.000500993; 0.0004075; 5.4073e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;0.36; 0.295839; 0.092092; 0.000529394; 0.00054364; 6.6189e-05; false;0.34; 0.302121; 0.059946; 0.000501389; 0.000444467; 5.6475e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;0.39; 0.325672; 0.0976033; 0.000563431; 0.000510415; 5.9961e-05; false;0.35; 0.319506; 0.0626701; 0.00053306; 0.000558884; 6.8612e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;0.37; 0.303492; 0.0993064; 0.000569646; 0.000595809; 8.8164e-05; false;0.4; 0.362325; 0.0655239; 0.000569611; 0.000746314; 6.7387e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.05; 0.0546949; 0.0120898; 6.3419e-05; 3.5451e-05; 1.496e-05; false;0.03; 0.0317617; 0.0120671; 6.5996e-05; 4.7148e-05; 1.5073e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;0.42; 0.344072; 0.109142; 0.000622149; 0.000797297; 8.5356e-05; false;0.36; 0.3254; 0.0695316; 0.000594768; 0.000748957; 6.9634e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.05; 0.0465952; 0.0175964; 0.000110638; 7.8171e-05; 2.1751e-05; false;0.06; 0.0601361; 0.0125186; 8.5334e-05; 5.5054e-05; 2.3001e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.07; 0.062279; 0.0207738; 0.0001119; 6.8434e-05; 2.8066e-05; false;0.09; 0.0763675; 0.0193113; 0.000115923; 6.7787e-05; 2.9001e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.12; 0.102203; 0.0306996; 0.00018124; 0.000157641; 3.781e-05; false;0.12; 0.110235; 0.0220535; 0.00015267; 0.000151921; 3.7763e-05; false
