name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.05; 0.0376034; 0.0181117; 7.4332e-05; false;0.05; 0.0415062; 0.0164422; 7.3523e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.3; 0.227719; 0.0905062; 0.00081419; false;0.34; 0.26619; 0.087178; 0.000871833; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.05; 0.0477832; 0.0171124; 8.1454e-05; false;0.04; 0.0421642; 0.0141042; 8.7118e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.05; 0.0360937; 0.0148878; 8.502e-05; false;0.04; 0.0396283; 0.0146441; 0.000105165; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.05; 0.0430254; 0.0189077; 7.1632e-05; false;0.07; 0.0468154; 0.0291446; 0.000140897; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.06; 0.0545979; 0.0168568; 7.2694e-05; false;0.08; 0.0650467; 0.026524; 7.6205e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.02; 0.0154052; 0.00818232; 1.8686e-05; false;0.03; 0.0232278; 0.0109775; 2.2524e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.06; 0.0457715; 0.0199678; 7.8092e-05; false;0.05; 0.0493217; 0.0167638; 7.4257e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.08; 0.0675867; 0.0199253; 7.8325e-05; false;0.06; 0.0451453; 0.0174998; 7.5136e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.06; 0.044305; 0.0206268; 7.7484e-05; false;0.06; 0.0534299; 0.0173634; 6.681e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.07; 0.0582647; 0.0198327; 7.4939e-05; false;0.06; 0.0514149; 0.0166132; 7.583e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.05; 0.0455208; 0.0193399; 0.000103829; false;0.06; 0.0532867; 0.0176638; 6.9003e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.02; 0.0153367; 0.00849853; 3.6739e-05; false;0.02; 0.0157916; 0.00819812; 3.6495e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.06; 0.0450901; 0.0204053; 0.00010371; false;0.07; 0.0566738; 0.0268454; 9.81e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.01; 0.0124502; 0.00718257; 1.2801e-05; false;0.01; 0.0125282; 0.00759242; 1.5453e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.02; 0.0219349; 0.0106517; 1.9885e-05; false;0.01; 0.0119093; 0.00717827; 1.1563e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.14; 0.111774; 0.0447396; 0.000277945; false;0.14; 0.112806; 0.039508; 0.000306609; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.13; 0.101634; 0.0425551; 0.000309304; false;0.15; 0.116546; 0.0410199; 0.000397871; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.03; 0.0211579; 0.0105219; 4.7808e-05; false;0.03; 0.0217851; 0.0103781; 4.4627e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.02; 0.0232226; 0.0113705; 5.0021e-05; false;0.03; 0.0246497; 0.00940639; 4.5202e-05; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.3; 0.212824; 0.0981439; 0.000890186; false;0.33; 0.253931; 0.0854358; 0.00058985; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.31; 0.225722; 0.0915226; 0.000754771; false;0.33; 0.256322; 0.0833465; 0.000636708; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.31; 0.219885; 0.101948; 0.000540991; false;0.33; 0.259957; 0.0893969; 0.000831558; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.3; 0.224011; 0.0908983; 0.000821878; false;0.33; 0.250753; 0.0882387; 0.000737511; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.29; 0.209007; 0.0967816; 0.00106207; false;0.34; 0.277243; 0.0851649; 0.000921219; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.32; 0.227506; 0.107966; 0.000777736; false;0.33; 0.263929; 0.0861503; 0.000645742; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.32; 0.234386; 0.0998053; 0.000629126; false;0.33; 0.25712; 0.09138; 0.000524146; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.34; 0.228944; 0.114045; 0.000785751; false;0.33; 0.263966; 0.0875518; 0.000664861; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.3; 0.230664; 0.0916122; 0.00133821; false;0.33; 0.251425; 0.0861395; 0.000539188; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.31; 0.217447; 0.111606; 0.00102736; false;0.32; 0.254034; 0.0817856; 0.000522728; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.35; 0.271221; 0.0960671; 0.00109289; false;0.33; 0.261279; 0.087257; 0.000483686; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.29; 0.213724; 0.091839; 0.000544515; false;0.37; 0.265483; 0.12046; 0.000990995; false
