name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.13; 0.0813904; 0.0221553; 0.0306859; 0.0140234; 3.4724e-05; false;0.11; 0.0629944; 0.0146796; 0.0278927; 0.0132768; 2.1602e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.17; 0.079181; 0.0280037; 0.0483828; 0.024679; 4.5474e-05; false;0.15; 0.0791793; 0.0184518; 0.0470469; 0.0237768; 6.6146e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.2; 0.0901819; 0.0308894; 0.0744329; 0.0328127; 3.1869e-05; false;0.22; 0.12361; 0.0225793; 0.0756876; 0.033077; 5.806e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.3; 0.13124; 0.0465929; 0.103149; 0.0513393; 4.1294e-05; false;0.29; 0.120436; 0.0312995; 0.121242; 0.0484708; 3.6054e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.39; 0.151584; 0.0539903; 0.162489; 0.0556181; 4.1492e-05; false;0.37; 0.155957; 0.0335752; 0.165693; 0.0551675; 4.066e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.43; 0.16009; 0.0469507; 0.193363; 0.069514; 0.000106793; false;0.41; 0.145437; 0.0336242; 0.21825; 0.067451; 8.0898e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.0262114; 0.011624; 0.00318685; 0.00104739; 9.05e-06; false;0.02; 0.0168846; 0.00680819; 0.00137042; 0.00073976; 8.089e-06; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.52; 0.162489; 0.0577143; 0.24712; 0.0995267; 0.00010519; false;0.48; 0.161588; 0.0391918; 0.247675; 0.0978488; 8.215e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.64; 0.205748; 0.0573939; 0.342307; 0.117019; 6.5444e-05; false;0.57; 0.182656; 0.0439047; 0.322759; 0.10348; 5.6721e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.71; 0.203871; 0.0733371; 0.370319; 0.128477; 9.9129e-05; false;0.67; 0.206644; 0.0472274; 0.358891; 0.133129; 0.000148754; false
