name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.36; 0.257146; 0.028606; 0.1438; 0.0061;1.76;0.1309892; 1.7210146000; 0.0001094000; 0.0001523000; True;0.41; 0.184357; 0.0426667; 0.179752; 0.108769; 1.615e-06; true;1.44; 0.104753; 0.0242723;0.0048248100000000006; 0.747856; 0.673239; 3.523e-06; true;1.46; 0.189492; 0.0383743;0.00165882; 0.445099; 0.811175; 0.0110124; true;2.46; 0.2524; 0.0000; 0.9225; 0.2387; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.58;0.05577394; 1.375005829; 2.4398E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.46; 0.245843; 0.034311; 0.2158; 0.0321;1.59;0.0776914; 1.4682650000; 0.0000591000; 0.0001245000; True;0.5; 0.21705; 0.041559; 0.266981; 0.0674821; 1.86e-06; true;2.54; 0.197983; 0.0399503;0.01162552; 1.25089; 1.19672; 2.842e-06; true;1.92; 0.225583; 0.0418961;0.00191967; 0.642122; 0.995693; 0.0125397; true;2.29; 0.1832; 0.0000; 1.0915; 0.2678; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.79;0.067086027; 2.182936943; 4.4489E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.63; 0.234314; 0.0374827; 0.3128; 0.0437;2.52;0.1434787; 2.4706447000; 0.0000615000; 0.0001175000; True;0.58; 0.24422; 0.0473547; 0.268251; 0.0861016; 1.72e-06; true;3.09; 0.244724; 0.048827;0.01302801; 1.5774; 1.43855; 2.711e-06; true;2.23; 0.240068; 0.0462726;0.00211591; 0.832034; 1.07699; 0.0168864; true;2.7; 0.1919; 0.0000; 1.3465; 0.4781; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.59;0.06765006800000001; 2.575686803; 5.264E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.61; 0.245349; 0.0364428; 0.3186; 0.0129;3.33;0.1509007; 3.2152717000; 0.0000691000; 0.0001140000; True;0.73; 0.271034; 0.0538463; 0.361841; 0.116158; 2.573e-06; true;3.85; 0.165447; 0.0649372;0.0086932; 2.06108; 1.9376; 2.622e-06; true;2.64; 0.258906; 0.040661;0.001389332; 0.939463; 1.34407; 0.0221379; true;3.61; 0.1975; 0.0000; 2.1107; 0.6754; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.83;0.074614063; 3.659861769; 3.7559E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.03; 0.0738983; 0.00258183; 0.0014; 0.0003;0.19;0.0804671; 0.0512661000; 0.0001750000; 0.0001821000; True;0.04; 0.033016; 0.0117206; 0.00333734; 0.0012518; 1.715e-06; true;0.07; 0.0322532; 0.0116326;0.00153368; 0.016632; 0.0174031; 2.537e-06; true;0.06; 0.0323368; 0.0116467;0.00029164100000000004; 0.00856168; 0.0136984; 0.000200184; true;1.5; 0.0514; 0.0000; 0.0153; 0.0032; 0.0000; True;4.71; 0.0423; 0.0027; 2.4727; 1.0912; True;TO;TO;1.34;0.038431398; 0.065782287; 4.2466E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;0.91; 0.344031; 0.0465717; 0.5456; 0.0919;4.96;0.1672995; 5.1261470000; 0.0000937000; 0.0001513000; True;0.85; 0.303177; 0.0546302; 0.431093; 0.133535; 1.748e-06; true;3.94; 0.320185; 0.0536253;0.01089665; 2.1863; 1.71419; 3.129e-06; true;3.95; 0.330311; 0.0536764;0.00273579; 1.57595; 2.04395; 0.0277128; true;4.28; 0.3782; 0.0000; 2.7880; 0.8014; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.85;0.096978445; 3.94074722; 2.8236E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;0.98; 0.337427; 0.0475616; 0.5282; 0.1264;5.55;0.17287029999999998; 5.7053041000; 0.0000882000; 0.0001447000; True;0.74; 0.362453; 0.0469298; 0.299662; 0.102842; 1.729e-06; true;4.76; 0.202728; 0.0346019;0.00956479; 2.65756; 2.59197; 2.652e-06; true;4.6; 0.338312; 0.0653258;0.00355207; 1.98857; 2.37454; 0.0230993; true;4.44; 0.2669; 0.0000; 2.9582; 0.7823; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;12.1;0.076508225; 4.911317455; 2.7931E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;1.21; 0.555563; 0.0566538; 0.6756; 0.0988;7.96;0.199054; 8.2976009000; 0.0001031000; 0.0001323000; True;1.2; 0.354299; 0.0632189; 0.736847; 0.221477; 1.992e-06; true;6.23; 0.402251; 0.0645064;0.0209373; 3.81545; 2.42265; 2.096e-06; true;6.28; 0.359531; 0.0856245;0.00334188; 2.33209; 3.5608; 0.0271774; true;6.33; 0.4689; 0.0000; 4.0952; 1.1436; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;13.48;0.110008676; 5.621918235; 2.7417E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;1.27; 0.371752; 0.105669; 0.7634; 0.1091;9.71;0.1937686; 9.8804065000; 0.0001182000; 0.0001577000; True;1.42; 0.353247; 0.0985682; 0.897786; 0.229067; 2.112e-06; true;8.38; 0.413162; 0.0760018;0.0221344; 4.786; 3.66367; 2.469e-06; true;7.37; 0.351051; 0.0658204;0.0031862; 2.77603; 4.13962; 0.0281025; true;7.4; 0.5231; 0.0000; 4.9923; 1.3659; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;17.5;0.099375033; 7.834192173; 4.324E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;1.58; 0.522931; 0.0881611; 1.0677; 0.1335;10.27;0.3021305; 10.5641633000; 0.0001143000; 0.0001814000; True;1.7; 0.432065; 0.0797801; 1.17356; 0.295192; 2.232e-06; true;9.0; 0.436268; 0.0844435;0.0312329; 5.41268; 3.68953; 2.489e-06; true;8.93; 0.421342; 0.0760331;0.00398164; 3.44437; 4.88656; 0.0269649; true;8.13; 0.3365; 0.0000; 5.7454; 1.7515; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;20.7;0.10141111800000001; 9.270752916; 2.976E-5; true
