name;automata-runtime;automata-construction;automata-uni;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-47-*.mata;1.01;0.44663010000000014;0.37951559999999995;0.13893290000000003; 0.0002680000; False;1.37; 0.822204; 0.312514;0.22847665099999998;0.073032963; 0.00144367; false;4.77; 0.980258; 0.331566;0.09064568999999996;1.591676988;1.725564459; 0.0895685; false;2.38; 1.07681; 0.291402;0.014588574000000002;0.35238746399999993;0.6939054899999998; 0.0325349; false;3.04; 1.5126; 0.0000; 0.4453; 0.0057; 0.0129; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.3386511610000003;MISSING;MISSING;MISSING;3.51;0.25552038900000007; 0.565738936; 3.6218E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-48-*.mata;0.96;0.3956997000000001;0.3275758999999999;0.13540090000000002; 0.0001585000; False;1.08; 0.776657; 0.194895;0.104209902;0.04754835999999999; 0.000977211; false;4.96; 0.705918; 0.281409;0.10320370000000001;1.8166035399999998;1.98126328; 0.0780607; false;2.19; 0.972974; 0.204668;0.008451677000000001;0.3101534309999999;0.6934722429999999; 0.0410423; false;2.87; 1.4814; 0.0000; 0.4941; 0.0045; 0.0097; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.4321732379999996;MISSING;MISSING;MISSING;3.71;0.36546969400000007; 0.546701051; 6.3041E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-49-*.mata;1.09;0.4099088;0.3455134999999999;0.1495089; 0.0002179000; False;1.69; 1.10434; 0.396565;0.212080962;0.08937378099999999; 0.00155336; false;5.42; 0.970308; 0.269457;0.055108069999999995;1.981355571;2.237226991; 0.0877244; false;2.45; 0.91244; 0.257189;0.016136160000000004;0.410392996;0.83978537; 0.0398205; false;2.47; 1.2005; 0.0000; 0.2664; 0.0028; 0.0066; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.3855865290000002;MISSING;MISSING;MISSING;3.23;0.3071189990000001; 0.656646705; 4.418E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-5-*.mata;0.12;0.0655892;0.0072938;0.0002299; 0.0001761000; False;0.01; 0.0082396; 0.00718832;0.000245335;7.6583e-05; 1.739e-05; false;0.01; 0.00853038; 0.00752376;0.0009077150000000001;0.000574962;0.000501888; 0.000166902; false;0.01; 0.00827719; 0.00735002;0.000148113;0.001047088;0.001232087; 0.000300833; false;0.86; 0.0227; 0.0000; 0.0005; 0.0000; 0.0001; False;1.13; 0.0208; 0.0011; 0.0080; 0.0010; False;0.95; 0.0126; 0.0013; 0.0020; 0.0100; 0.0104; False;1.16;0.13269302900000002; 0.04117501; 0.002150017; false;1.04;0.024604779; 0.002916753; 4.94E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-50-*.mata;0.95;0.3148058999999999;0.38945500000000005;0.16983689999999999; 0.0001972000; False;1.46; 0.85092; 0.355813;0.20274246499999998;0.07450528; 0.00174218; false;6.44; 1.22648; 0.430695;0.11047437;2.2789644000000004;2.4400099899999996; 0.118243; false;2.88; 1.12928; 0.388892;0.01703891;0.44477542900000006;0.92718973; 0.0382559; false;3.03; 1.5365; 0.0000; 0.4756; 0.0049; 0.0116; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.5643020040000004;MISSING;MISSING;MISSING;4.09;0.295812128; 0.797459087; 4.5653E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-51-*.mata;1.1;0.5237611000000001;0.43170330000000007;0.17133930000000003; 0.0002416000; False;1.16; 0.794148; 0.230396;0.13579538600000002;0.050043085; 0.0014363; false;5.52; 0.690917; 0.271003;0.06720653000000001;2.0729987300000006;2.388731166; 0.111253; false;3.19; 1.27777; 0.437012;0.01821795499999999;0.52542466;1.0832034700000004; 0.0426566; false;2.09; 0.9081; 0.0000; 0.3469; 0.0033; 0.0077; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.8246342029999996;MISSING;MISSING;MISSING;3.92;0.3607519549999999; 0.723801434; 4.8417E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-52-*.mata;1.02;0.49158399999999985;0.37354500000000007;0.175628; 0.0001366000; False;1.89; 1.29927; 0.473837;0.248807701;0.09573310800000001; 0.00198781; false;6.37; 0.7287; 0.436098;0.12477961999999998;2.4616575199999997;2.5948422399999997; 0.104466; false;2.72; 0.791597; 0.398508;0.016617066;0.500106688;1.03783537; 0.0265244; false;2.69; 1.1874; 0.0000; 0.5646; 0.0050; 0.0138; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.4480474350000005;MISSING;MISSING;MISSING;4.05;0.326296018; 0.737197144; 5.0769E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-53-*.mata;1.36;0.5152922;0.5064017000000001;0.24934259999999997; 0.0002408000; False;1.38; 0.919629; 0.241318;0.22362386800000003;0.08208560899999999; 0.00145097; false;6.59; 1.32509; 0.473256;0.12631488;2.2764580200000006;2.39717309; 0.0831751; false;2.28; 1.02883; 0.244219;0.010031989;0.33424336200000004;0.7210764399999999; 0.0294142; false;3.15; 1.6135; 0.0000; 0.6167; 0.0064; 0.0140; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.5403458110000003;MISSING;MISSING;MISSING;4.27;0.435633791; 0.877327745; 5.155E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-54-*.mata;1.11;0.6605244;0.3600452;0.1314038; 0.0001734000; False;2.02; 1.244; 0.485866;0.27834523299999997;0.10153738699999998; 0.00195988; false;7.58; 1.43366; 0.465103;0.13685030000000004;2.68967865;2.8593194399999997; 0.0950322; false;2.61; 1.25157; 0.311699;0.028627833000000005;0.34355815999999995;0.75844399; 0.031999; false;3.48; 1.7224; 0.0000; 0.7108; 0.0084; 0.0190; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.6341264380000007;MISSING;MISSING;MISSING;3.74;0.34192228599999996; 0.634083637; 3.4491E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-55-*.mata;1.45;0.5074391;0.4930608;0.23208710000000005; 0.0003404000; False;1.7; 0.998001; 0.395981;0.27037706000000006;0.10481787399999999; 0.00190041; false;7.19; 1.26588; 0.457501;0.13437048999999998;2.5982234000000006;2.7606107200000003; 0.0907594; false;2.34; 0.987002; 0.273647;0.010666733;0.325415762;0.7533109199999999; 0.031988; false;3.55; 1.7166; 0.0000; 0.7058; 0.0069; 0.0164; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.5454814470000007;MISSING;MISSING;MISSING;4.24;0.3708563519999999; 0.726204236; 4.3716E-5; false
